"passID";"passTime";"stationID";"vehicleID";"charge"
"AAA0939423";"2022-01-06 12:18:00";"OO05";"RK48BOP88344";2.8
"AAB2596984";"2022-01-08 13:54:00";"NE08";"NY14GZR94632";2.8
"AAB2622229";"2019-09-07 05:50:00";"NE02";"NO82BAX82566";2.8
"AAB6113266";"2021-11-02 06:53:00";"OO04";"HT62RDI04611";1.25
"AAB7311258";"2020-06-08 07:31:00";"NE02";"QU94IGC75528";3.1
"AAB8262708";"2019-11-29 14:01:00";"KO01";"JO50FSF60755";2.2
"AAC9366034";"2019-12-26 00:04:00";"NE01";"NZ35XLQ89678";1.5
"AAE7016070";"2020-07-02 21:47:00";"KO08";"IX01MVL33676";2.5
"AAF5102386";"2021-09-04 07:02:00";"AO11";"LG64ARC91224";13.0
"AAH5445267";"2021-12-07 07:54:00";"KO03";"RK48BOP88344";2.5
"AAH6500421";"2021-07-10 01:47:00";"NE04";"QP02SYE47964";2.8
"AAI2554093";"2022-09-09 17:36:00";"GF00";"BY85QGR11636";2.5
"AAI5274987";"2019-11-02 15:10:00";"AO08";"DP11ENT03275";3.1
"AAJ1512507";"2021-02-06 19:02:00";"GF00";"MA30QLI76818";2.5
"AAK0225640";"2022-06-09 01:35:00";"EG03";"LG64ARC91224";2.0
"AAK2274580";"2019-01-12 14:28:00";"GF00";"IO09FGE68100";2.8
"AAK2755382";"2019-02-02 21:36:00";"GF00";"LM86GYO69819";2.8
"AAK3568079";"2019-07-09 23:15:00";"MR08";"KF48RSD79865";2.8
"AAK4497749";"2021-04-04 05:07:00";"GF00";"BY85QGR11636";2.5
"AAK5852242";"2019-08-08 23:37:00";"NE09";"EV77EDV52985";1.0
"AAK9122647";"2019-02-02 11:38:00";"GF00";"BY85QGR11636";2.5
"AAL2051700";"2022-01-02 04:28:00";"AO09";"LG64ARC91224";13.0
"AAL3927987";"2020-12-04 20:05:00";"EG12";"DW44ZOO26361";2.5
"AAO8713726";"2019-09-03 09:40:00";"AO10";"LG64ARC91224";13.0
"AAO9936763";"2021-01-11 17:50:00";"MR01";"KF48RSD79865";2.8
"AAP3896850";"2021-05-01 11:04:00";"EG03";"TE24LCO18661";1.25
"AAP6460207";"2022-12-05 13:13:00";"EG04";"XF28DGK65250";2.2
"AAQ0567052";"2020-01-05 01:12:00";"KO00";"WY00MLL63827";1.0
"AAR5044876";"2021-06-05 16:46:00";"KO08";"IX01MVL33676";2.5
"AAR6352940";"2019-06-04 21:02:00";"EG01";"EC02LZC49528";2.8
"AAS1370571";"2019-03-08 19:38:00";"OO09";"AT19HLV57173";2.8
"AAS4790455";"2022-07-08 18:40:00";"AO18";"SY96JDQ97089";1.5
"AAS7968026";"2022-08-08 00:31:00";"NE05";"PD45WOT56494";2.0
"AAS8521860";"2021-01-03 16:28:00";"MR04";"HE38BQH01623";2.8
"AAT0195540";"2020-11-01 13:17:00";"NE09";"SU00RDZ36214";2.0
"AAU7754020";"2022-01-04 07:17:00";"NE06";"FY47TUN40300";1.0
"AAV1433360";"2021-05-05 20:12:00";"KO08";"JO50FSF60755";2.2
"AAV6660448";"2022-03-08 23:20:00";"EG03";"WU78BMX13511";1.5
"AAW1369340";"2021-06-11 08:49:00";"EG09";"QU94IGC75528";2.2
"AAW5016427";"2019-10-28 23:17:00";"NE11";"PM58XHX45588";1.5
"AAW7055068";"2020-05-10 00:51:00";"KO00";"RK48BOP88344";1.0
"AAX5365966";"2023-04-06 15:51:00";"GF00";"UF84JOS00561";2.8
"AAX7607733";"2019-10-25 15:34:00";"NE00";"PE73VJU23485";3.1
"AAY3857925";"2019-08-10 03:52:00";"OO11";"QX75YWC61835";2.5
